"","Customer","Geographic indicator","Months with service","Age in years","Marital status","Years at current address","Household income in thousands","Level of education","Years with current employer","Retired","Gender","Number of people in household","Customer category","Toll free service","Equipment rental","Calling card service","Wireless service","Long distance last month","Toll free last month","Equipment last month","Calling card last month","Wireless last month","Long distance over tenure","Toll free over tenure","Equipment over tenure","Calling card over tenure","Wireless over tenure","Multiple lines","Voice mail","Paging service","Internet","Caller ID","Call waiting","Call forwarding","Three way calling","Electronic billing","churn"
"20","ID0020","Zone 1",26,29,"Married",3,77,"Graduate",2,"No","Male",4,"Category 4","No","Yes","Yes","Yes",6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"21","ID0021","Zone 3",6,30,"Unmarried",7,16,"Undergraduate",1,"No","Female",1,"Category 2","No","Yes","No","Yes",3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,"Yes","No","Yes","Yes","No","Yes","No","No","No","Yes"
"22","ID0022","Zone 1",68,52,"Married",17,120,"Did Not Complete High School",24,"No","Male",2,"Category 1","No","No","Yes","No",20.7,0,0,22,0,1391.05,0,0,1505,0,"No","No","No","No","No","No","Yes","No","No","No"
"23","ID0023","Zone 3",53,33,"Unmarried",10,101,"Doctorate",4,"No","Female",2,"Category 4","No","Yes","Yes","Yes",5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,"Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No"
"24","ID0024","Zone 3",55,48,"Married",19,67,"Did Not Complete High School",25,"No","Male",3,"Category 1","No","No","Yes","No",15.05,0,0,27.25,0,810.45,0,0,1390,0,"No","No","No","No","No","No","No","No","No","No"
"25","ID0025","Zone 3",14,43,"Married",18,36,"Did Not Complete High School",5,"No","Male",5,"Category 3","Yes","No","Yes","No",12.5,19.75,0,18,0,153.75,273.75,0,215,0,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"26","ID0026","Zone 2",1,21,"Unmarried",0,33,"Completed High School",0,"No","Female",3,"Category 3","Yes","No","Yes","No",2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,"No","No","No","No","No","Yes","Yes","Yes","No","No"
"27","ID0027","Zone 2",42,40,"Unmarried",7,37,"Completed High School",8,"No","Female",1,"Category 4","Yes","Yes","Yes","Yes",8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No"
"28","ID0028","Zone 3",25,33,"Married",11,31,"Did Not Complete High School",5,"No","Male",4,"Category 3","No","No","No","No",9.1,0,0,0,0,234.95,0,0,0,0,"Yes","No","No","No","Yes","No","Yes","No","No","No"
"29","ID0029","Zone 1",9,21,"Married",1,17,"Completed High School",2,"No","Female",3,"Category 1","No","No","No","No",2.9,0,0,0,0,25.25,0,0,0,0,"No","No","No","No","Yes","No","No","No","No","No"
"30","ID0030","Zone 2",13,33,"Married",9,19,"Graduate",0,"No","Female",2,"Category 2","No","Yes","No","No",5.55,0,27.35,0,0,75.25,0,330.65,0,0,"Yes","No","No","Yes","No","No","No","Yes","Yes","Yes"
"31","ID0031","Zone 1",56,37,"Married",6,36,"Did Not Complete High School",13,"No","Female",2,"Category 2","No","Yes","Yes","No",10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,"Yes","No","No","Yes","No","No","No","No","Yes","No"
"32","ID0032","Zone 1",71,53,"Married",27,155,"Doctorate",12,"No","Male",2,"Category 4","Yes","No","Yes","Yes",21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No"
"33","ID0033","Zone 1",35,50,"Married",26,140,"Completed High School",21,"No","Female",4,"Category 3","Yes","No","Yes","No",6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,"No","No","No","No","No","Yes","Yes","Yes","No","No"
"34","ID0034","Zone 1",11,27,"Married",8,55,"Doctorate",0,"No","Male",3,"Category 2","No","Yes","No","No",4.8,0,19.55,0,0,54.1,0,220.4,0,0,"Yes","No","No","Yes","No","No","No","No","No","Yes"
"35","ID0035","Zone 2",60,46,"Married",13,163,"Undergraduate",24,"No","Male",2,"Category 4","Yes","Yes","Yes","Yes",33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"36","ID0036","Zone 3",20,35,"Married",11,52,"Graduate",0,"No","Male",2,"Category 2","No","Yes","No","No",4.25,0,30.55,0,0,82.7,0,547.15,0,0,"Yes","No","No","Yes","No","No","No","No","Yes","Yes"
"37","ID0037","Zone 2",54,60,"Unmarried",38,211,"Graduate",25,"No","Male",1,"Category 4","Yes","Yes","Yes","Yes",21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No"
"38","ID0038","Zone 1",44,57,"Married",1,186,"Completed High School",17,"No","Male",2,"Category 3","Yes","No","Yes","Yes",9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,"Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No"
"39","ID0039","Zone 1",11,41,"Married",0,39,"Did Not Complete High School",1,"No","Female",2,"Category 3","Yes","No","Yes","No",6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,"No","Yes","No","No","Yes","Yes","Yes","Yes","No","No"
"40","ID0040","Zone 2",72,57,"Unmarried",34,22,"Completed High School",35,"Yes","Female",1,"Category 3","Yes","No","Yes","No",41.75,49,0,18.75,0,3043.05,3581,0,1360,0,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"41","ID0041","Zone 3",10,41,"Unmarried",7,30,"Did Not Complete High School",7,"No","Male",1,"Category 3","Yes","No","Yes","No",2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"42","ID0042","Zone 2",15,28,"Unmarried",0,29,"Completed High School",4,"No","Female",1,"Category 3","Yes","No","Yes","No",4.25,30,0,17.75,0,78,426.05,0,255,0,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"43","ID0043","Zone 2",27,28,"Married",4,23,"Completed High School",8,"No","Male",5,"Category 1","No","No","No","No",6.2,0,0,0,0,180.15,0,0,0,0,"No","No","No","No","Yes","No","No","No","No","No"
"44","ID0044","Zone 1",9,36,"Married",14,62,"Graduate",10,"No","Male",6,"Category 4","No","Yes","No","Yes",5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,"Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"45","ID0045","Zone 1",64,43,"Married",20,76,"Graduate",20,"No","Female",4,"Category 3","Yes","No","Yes","No",14.7,18.75,0,11,0,897.05,1279.25,0,680,0,"Yes","No","No","No","Yes","Yes","No","Yes","No","No"
"46","ID0046","Zone 1",65,41,"Married",3,74,"Graduate",16,"No","Male",2,"Category 2","No","Yes","Yes","No",14.5,0,37,17,0,963.3,0,2263.05,1065,0,"Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"47","ID0047","Zone 1",49,51,"Married",27,63,"Graduate",19,"No","Male",5,"Category 2","Yes","No","Yes","No",12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,"Yes","No","No","Yes","No","Yes","No","No","Yes","No"
"48","ID0048","Zone 3",47,41,"Married",0,36,"Graduate",8,"No","Male",2,"Category 4","No","Yes","Yes","Yes",7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,"Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No"
"49","ID0049","Zone 3",9,34,"Married",9,33,"Completed High School",8,"No","Female",4,"Category 1","No","Yes","No","No",2.95,0,22.95,0,0,18.9,0,208.55,0,0,"No","No","No","No","No","No","No","No","No","No"
"50","ID0050","Zone 1",5,36,"Unmarried",14,29,"Completed High School",9,"No","Female",1,"Category 3","Yes","No","Yes","Yes",3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"51","ID0051","Zone 2",30,34,"Married",4,27,"Completed High School",1,"No","Male",5,"Category 1","No","Yes","No","No",6.3,0,22.5,0,0,150.9,0,690.75,0,0,"No","No","No","Yes","No","No","No","No","No","No"
"52","ID0052","Zone 1",56,52,"Married",28,49,"Completed High School",12,"No","Male",4,"Category 2","No","No","Yes","No",24.75,0,0,22.25,0,1349.05,0,0,1215,0,"Yes","No","No","No","No","No","No","No","No","No"
"53","ID0053","Zone 3",10,22,"Unmarried",0,24,"Graduate",0,"No","Male",1,"Category 4","Yes","Yes","Yes","Yes",7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"54","ID0054","Zone 1",7,26,"Married",3,26,"Completed High School",2,"No","Male",5,"Category 1","Yes","No","No","No",4.85,15.5,0,0,0,33.7,136.55,0,0,0,"No","No","No","No","No","Yes","No","No","No","No"
"55","ID0055","Zone 1",52,27,"Unmarried",6,47,"Undergraduate",5,"No","Male",2,"Category 1","Yes","No","Yes","No",6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,"No","No","No","No","Yes","No","No","No","Yes","No"
"56","ID0056","Zone 2",36,45,"Married",1,94,"Completed High School",18,"No","Female",5,"Category 1","Yes","Yes","No","No",7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,"No","No","Yes","Yes","Yes","No","No","Yes","No","No"
"57","ID0057","Zone 3",27,34,"Unmarried",8,21,"Undergraduate",4,"No","Female",1,"Category 2","No","No","No","No",7.65,0,0,0,0,213.45,0,0,0,0,"Yes","No","No","No","No","No","No","No","No","No"
"58","ID0058","Zone 1",58,62,"Married",36,27,"Did Not Complete High School",0,"No","Male",2,"Category 1","No","No","Yes","No",15.5,0,0,34.5,0,967.1,0,0,1910,0,"No","No","No","No","No","No","No","No","No","No"
"59","ID0059","Zone 2",41,52,"Unmarried",27,30,"Completed High School",2,"No","Female",1,"Category 3","Yes","No","Yes","Yes",10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"60","ID0060","Zone 2",47,40,"Married",16,127,"Graduate",12,"No","Female",4,"Category 2","No","Yes","Yes","No",19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,"Yes","No","No","Yes","No","No","No","No","Yes","No"
"61","ID0061","Zone 2",55,39,"Married",15,137,"Completed High School",20,"No","Female",2,"Category 3","Yes","No","Yes","No",12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,"No","Yes","No","No","Yes","Yes","Yes","Yes","No","No"
"62","ID0062","Zone 2",56,50,"Married",1,80,"Completed High School",24,"No","Female",4,"Category 4","Yes","No","Yes","Yes",28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"63","ID0063","Zone 3",35,55,"Unmarried",24,30,"Completed High School",2,"No","Male",1,"Category 1","No","No","Yes","No",10.25,0,0,15.75,0,395.85,0,0,550,0,"No","No","No","No","No","No","No","No","No","No"
"64","ID0064","Zone 2",69,51,"Married",11,438,"Graduate",23,"No","Female",2,"Category 4","No","Yes","Yes","No",29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,"Yes","No","Yes","Yes","Yes","No","No","Yes","No","No"
"65","ID0065","Zone 2",44,39,"Unmarried",16,79,"Completed High School",16,"No","Male",1,"Category 4","Yes","Yes","Yes","Yes",15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"66","ID0066","Zone 3",36,47,"Married",16,63,"Did Not Complete High School",23,"No","Male",2,"Category 1","No","No","Yes","No",9.05,0,0,6.75,0,373.65,0,0,220,0,"No","No","No","No","No","No","No","No","No","No"
"67","ID0067","Zone 3",28,51,"Married",22,40,"Undergraduate",10,"No","Female",6,"Category 3","Yes","No","No","No",8.95,21.25,0,0,0,253.55,586.95,0,0,0,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"68","ID0068","Zone 1",72,67,"Married",44,51,"Did Not Complete High School",34,"Yes","Male",2,"Category 3","Yes","No","Yes","No",57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"69","ID0069","Zone 1",16,27,"Unmarried",5,37,"Undergraduate",5,"No","Male",4,"Category 1","No","No","No","No",6,0,0,0,0,80.7,0,0,0,0,"No","No","No","No","No","No","No","No","No","No"
"70","ID0070","Zone 3",3,43,"Unmarried",19,61,"Graduate",11,"No","Female",1,"Category 1","No","Yes","Yes","Yes",3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,"No","No","No","Yes","Yes","No","No","Yes","Yes","Yes"
"71","ID0071","Zone 1",40,57,"Married",15,22,"Completed High School",9,"No","Male",2,"Category 1","No","No","Yes","No",8.55,0,0,19.75,0,381.5,0,0,710,0,"No","No","No","No","No","No","No","No","No","No"
"72","ID0072","Zone 3",16,39,"Unmarried",6,44,"Graduate",3,"No","Female",1,"Category 2","No","Yes","No","No",6.6,0,23.3,0,0,96.3,0,350.15,0,0,"Yes","No","No","Yes","No","No","No","No","Yes","Yes"
"73","ID0073","Zone 1",20,42,"Unmarried",4,17,"Undergraduate",5,"No","Male",1,"Category 1","No","No","No","No",7.8,0,0,0,0,175.85,0,0,0,0,"No","No","No","No","No","No","No","No","No","No"
"74","ID0074","Zone 2",48,43,"Unmarried",13,110,"Doctorate",15,"No","Female",3,"Category 2","No","Yes","No","Yes",7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,"Yes","Yes","No","Yes","No","No","No","No","Yes","No"
"75","ID0075","Zone 2",64,48,"Married",13,91,"Completed High School",24,"No","Male",2,"Category 3","Yes","No","Yes","Yes",24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"76","ID0076","Zone 1",8,46,"Unmarried",3,46,"Completed High School",8,"No","Male",1,"Category 1","No","Yes","No","No",3.15,0,25.05,0,0,16.65,0,172.05,0,0,"No","No","Yes","Yes","No","No","No","No","Yes","Yes"
"77","ID0077","Zone 1",40,38,"Married",10,85,"Undergraduate",12,"No","Male",2,"Category 3","No","No","No","No",10.6,0,0,0,0,384.8,0,0,0,0,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"78","ID0078","Zone 2",38,71,"Unmarried",27,10,"Completed High School",12,"Yes","Male",1,"Category 1","No","No","No","No",11.2,0,0,0,0,429.85,0,0,0,0,"No","No","No","No","No","No","No","Yes","No","No"
"79","ID0079","Zone 1",67,68,"Unmarried",28,244,"Did Not Complete High School",47,"No","Female",1,"Category 3","Yes","No","Yes","No",30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,"No","Yes","No","No","Yes","Yes","Yes","Yes","No","No"
"80","ID0080","Zone 1",26,42,"Unmarried",0,80,"Graduate",15,"No","Female",1,"Category 4","Yes","Yes","Yes","Yes",7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"81","ID0081","Zone 3",41,34,"Married",15,83,"Doctorate",1,"No","Female",2,"Category 4","Yes","No","Yes","No",8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"82","ID0082","Zone 2",2,31,"Unmarried",2,21,"Did Not Complete High School",6,"No","Male",1,"Category 1","No","Yes","No","No",1.65,0,21.6,0,0,3.2,0,17.25,0,0,"No","No","No","No","No","No","No","Yes","No","Yes"
"83","ID0083","Zone 3",20,48,"Married",29,24,"Completed High School",3,"No","Male",2,"Category 4","Yes","No","Yes","No",11.85,22.5,0,35,0,230.7,452.75,0,675,0,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"84","ID0084","Zone 2",31,53,"Unmarried",2,351,"Undergraduate",31,"No","Female",1,"Category 3","Yes","No","Yes","No",5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,"No","No","Yes","No","Yes","Yes","Yes","Yes","No","No"
"85","ID0085","Zone 2",45,52,"Married",4,169,"Graduate",29,"No","Female",4,"Category 2","No","Yes","Yes","No",14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,"Yes","No","No","Yes","No","No","No","No","No","No"
"86","ID0086","Zone 2",33,27,"Married",7,46,"Completed High School",7,"No","Male",4,"Category 1","No","Yes","No","No",7.25,0,29.15,0,0,243.35,0,923.85,0,0,"No","No","No","No","No","No","No","No","Yes","No"
"87","ID0087","Zone 1",10,26,"Unmarried",6,34,"Undergraduate",3,"No","Male",1,"Category 2","No","Yes","No","No",4.85,0,27.7,0,0,41.85,0,223.05,0,0,"Yes","No","No","No","No","No","No","No","No","Yes"
"88","ID0088","Zone 2",62,54,"Married",2,50,"Graduate",3,"No","Male",2,"Category 4","No","Yes","Yes","Yes",17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No"
"89","ID0089","Zone 2",4,35,"Unmarried",16,161,"Doctorate",6,"No","Female",1,"Category 4","Yes","Yes","No","Yes",3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"90","ID0090","Zone 1",42,47,"Married",17,212,"Graduate",17,"No","Male",2,"Category 3","Yes","No","Yes","No",7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,"No","No","No","No","Yes","Yes","Yes","No","No","No"
"91","ID0091","Zone 3",27,51,"Married",3,80,"Doctorate",11,"No","Male",3,"Category 2","No","Yes","No","No",7.1,0,39.4,0,0,176.2,0,1086.65,0,0,"Yes","No","Yes","Yes","No","No","No","No","Yes","Yes"
"92","ID0092","Zone 2",38,42,"Unmarried",1,30,"Graduate",7,"No","Female",1,"Category 1","Yes","No","No","No",13.2,27.5,0,0,0,495.85,1087.9,0,0,0,"No","No","No","No","No","Yes","No","No","No","No"
"93","ID0093","Zone 3",52,61,"Married",3,53,"Doctorate",1,"No","Female",2,"Category 2","No","Yes","Yes","Yes",12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,"Yes","Yes","No","Yes","No","No","No","Yes","Yes","No"
"94","ID0094","Zone 3",35,33,"Unmarried",9,73,"Doctorate",4,"No","Female",1,"Category 4","Yes","No","Yes","Yes",5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"95","ID0095","Zone 3",3,20,"Married",1,17,"Completed High School",0,"No","Female",4,"Category 1","No","No","No","No",3.75,0,0,0,0,12.3,0,0,0,0,"No","No","No","No","No","No","No","No","Yes","No"
"96","ID0096","Zone 2",17,33,"Unmarried",9,23,"Doctorate",3,"No","Male",1,"Category 4","No","Yes","Yes","Yes",10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,"Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes"
"97","ID0097","Zone 1",55,53,"Married",21,34,"Did Not Complete High School",8,"No","Male",2,"Category 3","No","No","No","No",5.7,0,0,0,0,304.4,0,0,0,0,"No","No","No","No","No","Yes","Yes","Yes","No","No"
"98","ID0098","Zone 3",43,36,"Married",5,107,"Did Not Complete High School",19,"No","Female",3,"Category 2","Yes","No","Yes","No",11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,"Yes","No","No","No","No","No","No","No","No","No"
"99","ID0099","Zone 2",47,25,"Married",5,21,"Did Not Complete High School",1,"No","Female",2,"Category 3","Yes","No","Yes","No",8.65,30.5,0,9,0,426.6,1465.45,0,405,0,"No","No","No","No","No","Yes","Yes","Yes","No","No"
"100","ID0100","Zone 3",65,58,"Unmarried",30,83,"Completed High School",16,"No","Female",1,"Category 2","No","No","Yes","No",19.3,0,0,22.75,0,1323.2,0,0,1370,0,"Yes","No","No","No","No","Yes","No","No","No","No"
"101","ID0101","Zone 1",13,20,"Unmarried",1,17,"Undergraduate",0,"No","Male",5,"Category 4","No","Yes","Yes","No",3.05,0,31.3,14,0,40.3,0,390.6,155,0,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"102","ID0102","Zone 3",64,25,"Married",4,76,"Undergraduate",2,"No","Female",6,"Category 3","No","Yes","Yes","No",24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,"Yes","No","No","No","Yes","No","Yes","Yes","Yes","No"
"103","ID0103","Zone 2",12,24,"Unmarried",2,19,"Did Not Complete High School",0,"No","Male",1,"Category 3","Yes","No","Yes","No",4,24.75,0,27.25,0,46,299,0,295,0,"No","No","No","No","Yes","Yes","Yes","Yes","No","No"
"104","ID0104","Zone 1",29,32,"Married",0,49,"Graduate",3,"No","Female",3,"Category 2","No","Yes","No","No",6.7,0,33,0,0,187,0,918.25,0,0,"Yes","No","Yes","Yes","No","No","No","No","Yes","Yes"
"105","ID0105","Zone 2",23,47,"Unmarried",21,173,"Undergraduate",22,"No","Female",1,"Category 2","No","No","No","No",7.6,0,0,0,0,145.9,0,0,0,0,"Yes","No","No","No","Yes","No","No","Yes","Yes","No"
"106","ID0106","Zone 2",14,35,"Unmarried",4,47,"Undergraduate",10,"No","Female",1,"Category 2","Yes","No","No","Yes",5,21.75,0,0,24.15,76.2,318.2,0,0,274,"Yes","No","No","No","No","No","Yes","Yes","Yes","No"
"107","ID0107","Zone 1",35,61,"Unmarried",23,41,"Completed High School",11,"No","Male",1,"Category 1","No","No","Yes","No",9.6,0,0,9.5,0,353.55,0,0,295,0,"No","No","No","No","No","No","No","No","No","No"
"108","ID0108","Zone 3",26,39,"Unmarried",8,105,"Undergraduate",13,"No","Female",1,"Category 4","Yes","No","Yes","Yes",6.6,39.75,0,37.25,38.25,159.7,1022.45,0,1005,885.1,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"109","ID0109","Zone 1",13,54,"Unmarried",2,31,"Graduate",2,"No","Male",1,"Category 1","No","No","No","No",5.85,0,0,0,0,97,0,0,0,0,"No","Yes","No","Yes","No","No","No","No","Yes","No"
"110","ID0110","Zone 2",69,40,"Married",13,41,"Completed High School",17,"No","Male",3,"Category 2","No","No","Yes","No",25.25,0,0,33,0,1725.1,0,0,2320,0,"Yes","No","No","No","No","No","No","No","No","No"
